Dependency=location	Dependency=vintage	Option=pre_1980	Option=1980_2004	Option=2004_2007	Option=2007_2010	Option=2010_2013	Option=post_2013
CT_Fairfield	pre_1920	1	0	0	0	0	0
CT_Fairfield	1920_1945	1	0	0	0	0	0
CT_Fairfield	1946_1959	1	0	0	0	0	0
CT_Fairfield	1960_1969	1	0	0	0	0	0
CT_Fairfield	1970_1979	1	0	0	0	0	0
CT_Fairfield	1980_1989	1	0	0	0	0	0
CT_Fairfield	1990_1999	0	1	0	0	0	0
CT_Fairfield	2000_2003	0	1	0	0	0	0
CT_Fairfield	2004_2007	0	1	0	0	0	0
CT_Fairfield	2008_2012	0	0	0	0	1	0
CT_Fairfield	2013_2017	0	0	0	0	0	1
CT_Hartford	pre_1920	1	0	0	0	0	0
CT_Hartford	1920_1945	1	0	0	0	0	0
CT_Hartford	1946_1959	1	0	0	0	0	0
CT_Hartford	1960_1969	1	0	0	0	0	0
CT_Hartford	1970_1979	1	0	0	0	0	0
CT_Hartford	1980_1989	1	0	0	0	0	0
CT_Hartford	1990_1999	0	1	0	0	0	0
CT_Hartford	2000_2003	0	1	0	0	0	0
CT_Hartford	2004_2007	0	1	0	0	0	0
CT_Hartford	2008_2012	0	0	0	0	1	0
CT_Hartford	2013_2017	0	0	0	0	0	1
CT_Litchfield	pre_1920	1	0	0	0	0	0
CT_Litchfield	1920_1945	1	0	0	0	0	0
CT_Litchfield	1946_1959	1	0	0	0	0	0
CT_Litchfield	1960_1969	1	0	0	0	0	0
CT_Litchfield	1970_1979	1	0	0	0	0	0
CT_Litchfield	1980_1989	1	0	0	0	0	0
CT_Litchfield	1990_1999	0	1	0	0	0	0
CT_Litchfield	2000_2003	0	1	0	0	0	0
CT_Litchfield	2004_2007	0	1	0	0	0	0
CT_Litchfield	2008_2012	0	0	0	0	1	0
CT_Litchfield	2013_2017	0	0	0	0	0	1
CT_Middlesex	pre_1920	1	0	0	0	0	0
CT_Middlesex	1920_1945	1	0	0	0	0	0
CT_Middlesex	1946_1959	1	0	0	0	0	0
CT_Middlesex	1960_1969	1	0	0	0	0	0
CT_Middlesex	1970_1979	1	0	0	0	0	0
CT_Middlesex	1980_1989	1	0	0	0	0	0
CT_Middlesex	1990_1999	0	1	0	0	0	0
CT_Middlesex	2000_2003	0	1	0	0	0	0
CT_Middlesex	2004_2007	0	1	0	0	0	0
CT_Middlesex	2008_2012	0	0	0	0	1	0
CT_Middlesex	2013_2017	0	0	0	0	0	1
CT_New_Haven	pre_1920	1	0	0	0	0	0
CT_New_Haven	1920_1945	1	0	0	0	0	0
CT_New_Haven	1946_1959	1	0	0	0	0	0
CT_New_Haven	1960_1969	1	0	0	0	0	0
CT_New_Haven	1970_1979	1	0	0	0	0	0
CT_New_Haven	1980_1989	1	0	0	0	0	0
CT_New_Haven	1990_1999	0	1	0	0	0	0
CT_New_Haven	2000_2003	0	1	0	0	0	0
CT_New_Haven	2004_2007	0	1	0	0	0	0
CT_New_Haven	2008_2012	0	0	0	0	1	0
CT_New_Haven	2013_2017	0	0	0	0	0	1
CT_New_London	pre_1920	1	0	0	0	0	0
CT_New_London	1920_1945	1	0	0	0	0	0
CT_New_London	1946_1959	1	0	0	0	0	0
CT_New_London	1960_1969	1	0	0	0	0	0
CT_New_London	1970_1979	1	0	0	0	0	0
CT_New_London	1980_1989	1	0	0	0	0	0
CT_New_London	1990_1999	0	1	0	0	0	0
CT_New_London	2000_2003	0	1	0	0	0	0
CT_New_London	2004_2007	0	1	0	0	0	0
CT_New_London	2008_2012	0	0	0	0	1	0
CT_New_London	2013_2017	0	0	0	0	0	1
CT_Tolland	pre_1920	1	0	0	0	0	0
CT_Tolland	1920_1945	1	0	0	0	0	0
CT_Tolland	1946_1959	1	0	0	0	0	0
CT_Tolland	1960_1969	1	0	0	0	0	0
CT_Tolland	1970_1979	1	0	0	0	0	0
CT_Tolland	1980_1989	1	0	0	0	0	0
CT_Tolland	1990_1999	0	1	0	0	0	0
CT_Tolland	2000_2003	0	1	0	0	0	0
CT_Tolland	2004_2007	0	1	0	0	0	0
CT_Tolland	2008_2012	0	0	0	0	1	0
CT_Tolland	2013_2017	0	0	0	0	0	1
CT_Windham	pre_1920	1	0	0	0	0	0
CT_Windham	1920_1945	1	0	0	0	0	0
CT_Windham	1946_1959	1	0	0	0	0	0
CT_Windham	1960_1969	1	0	0	0	0	0
CT_Windham	1970_1979	1	0	0	0	0	0
CT_Windham	1980_1989	1	0	0	0	0	0
CT_Windham	1990_1999	0	1	0	0	0	0
CT_Windham	2000_2003	0	1	0	0	0	0
CT_Windham	2004_2007	0	1	0	0	0	0
CT_Windham	2008_2012	0	0	0	0	1	0
CT_Windham	2013_2017	0	0	0	0	0	1
