Dependency=location	Option=Flex_LightDistribution	Option=Flex_LightManufacturing	Option=Flex_R_D	Option=Flex_Showroom	Option=Flex_TelecomHotel_DataHosting	Option=HealthCare_AssistedLiving	Option=HealthCare_CongregateSeniorHousing	Option=HealthCare_ContinuingCareRetirementCommunity	Option=HealthCare_Hospital	Option=HealthCare_RehabilitationCenter	Option=HealthCare_SkilledNursingFacility	Option=Hospitality_Hotel	Option=Hospitality_HotelCasino	Option=Hospitality_Motel	Option=Hospitality_SingleRoomOccupancyHotel	Option=Industrial_Distribution	Option=Industrial_FoodProcessing	Option=Industrial_Manufacturing	Option=Industrial_Refrigeration_ColdStorage	Option=Industrial_Service	Option=Industrial_Showroom	Option=Industrial_TelecomHotel_DataHosting	Option=Industrial_TruckTerminal	Option=Industrial_Warehouse	Option=Land_Commercial	Option=Land_Industrial	Option=Multi_Family_Apartments	Option=Multi_Family_Dormitory	Option=Multi_Family_ManufacturedHousing_MobileHomePark	Option=Office_IndustrialLive_WorkUnit	Option=Office_Loft_CreativeSpace	Option=Office_Medical	Option=Office_OfficeLive_WorkUnit	Option=Office_Office_Residential	Option=Office_TelecomHotel_DataHosting	Option=Retail_AutoDealership	Option=Retail_AutoRepair	Option=Retail_Bank	Option=Retail_Bar	Option=Retail_BowlingAlley	Option=Retail_ConvenienceStore	Option=Retail_DayCareCenter	Option=Retail_DepartmentStore	Option=Retail_DrugStore	Option=Retail_FastFood	Option=Retail_Freestanding	Option=Retail_FuneralHome	Option=Retail_GardenCenter	Option=Retail_HealthClub	Option=Retail_MovieTheatre	Option=Retail_Restaurant	Option=Retail_ServiceStation	Option=Retail_Storefront	Option=Retail_StorefrontRetail_Office	Option=Retail_StorefrontRetail_Residential	Option=Retail_Supermarket	Option=Retail_TruckStop	Option=Retail_Veterinarian_Kennel	Option=Specialty_AirplaneHangar	Option=Specialty_Airport	Option=Specialty_AutoSalvageFacility	Option=Specialty_CarWash	Option=Specialty_Cement_GravelPlant	Option=Specialty_Cemetery_Mausoleum	Option=Specialty_Chemical_OilRefinery	Option=Specialty_ContractorStorageYard	Option=Specialty_CorrectionalFacility	Option=Specialty_Drive_inMovie	Option=Specialty_Landfill	Option=Specialty_Lodge_MeetingHall	Option=Specialty_Lumberyard	Option=Specialty_Marina	Option=Specialty_Movie_Radio_TVStudio	Option=Specialty_ParkingGarage	Option=Specialty_ParkingLot	Option=Specialty_Police_FireStation	Option=Specialty_PostOffice	Option=Specialty_PublicLibrary	Option=Specialty_Radio_TVTransmissionFacilities	Option=Specialty_RailroadYard	Option=Specialty_RecyclingCenter	Option=Specialty_ReligiousFacility	Option=Specialty_Schools	Option=Specialty_Self_Storage	Option=Specialty_Shelter	Option=Specialty_Shipyard	Option=Specialty_Sorority_FraternityHouse	Option=Specialty_Trailer_CamperPark	Option=Specialty_UtilitySub_Station	Option=Specialty_WaterRetentionFacility	Option=Specialty_WaterTreatmentFacility	Option=Specialty_Winery_Vineyard	Option=Sports_Entertainment_AmusementPark	Option=Sports_Entertainment_BaseballField	Option=Sports_Entertainment_Casino	Option=Sports_Entertainment_GolfCourse_DrivingRange	Option=Sports_Entertainment_HorseStables	Option=Sports_Entertainment_RaceTrack	Option=Sports_Entertainment_SkatingRink	Option=Sports_Entertainment_SwimmingPool	Option=Sports_Entertainment_Theater_ConcertHall
VT_Essex	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.038461538461538464	0.0	0.0	0.0	0.0	0.0	0.07692307692307693	0.0	0.0	0.0	0.0	0.0	0.07692307692307693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23076923076923078	0.0	0.0	0.0	0.0	0.11538461538461539	0.038461538461538464	0.0	0.038461538461538464	0.038461538461538464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3076923076923077	0.0	0.0	0.0	0.0	0.038461538461538464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VT_Caledonia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015037593984962405	0.0	0.022556390977443608	0.0	0.0	0.0	0.03007518796992481	0.0	0.007518796992481203	0.0	0.0	0.0	0.03759398496240601	0.0	0.0	0.05263157894736842	0.0	0.0	0.007518796992481203	0.022556390977443608	0.022556390977443608	0.015037593984962405	0.007518796992481203	0.0	0.03759398496240601	0.007518796992481203	0.07518796992481203	0.0	0.0	0.045112781954887216	0.0	0.0	0.03759398496240601	0.022556390977443608	0.23308270676691728	0.0	0.0	0.0	0.007518796992481203	0.03007518796992481	0.03759398496240601	0.03759398496240601	0.007518796992481203	0.05263157894736842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09774436090225563	0.0	0.0	0.0	0.0	0.0	0.015037593984962405	0.0	0.0	0.0	0.0	0.007518796992481203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007518796992481203	0.0	0.0	0.0	0.0	0.0
VT_Franklin	0.0	0.005847953216374269	0.0	0.0	0.0	0.005847953216374269	0.0	0.0	0.0	0.0	0.0	0.017543859649122806	0.0	0.005847953216374269	0.0	0.023391812865497075	0.0	0.04093567251461988	0.0	0.0	0.0	0.0	0.0	0.05263157894736842	0.0	0.0	0.04093567251461988	0.0	0.0	0.0	0.0	0.005847953216374269	0.011695906432748537	0.0	0.0	0.03508771929824561	0.011695906432748537	0.05847953216374269	0.005847953216374269	0.0	0.005847953216374269	0.005847953216374269	0.0	0.011695906432748537	0.04678362573099415	0.15204678362573099	0.0	0.0	0.0	0.0	0.05847953216374269	0.12280701754385964	0.08771929824561403	0.03508771929824561	0.06432748538011696	0.011695906432748537	0.0	0.005847953216374269	0.0	0.0	0.0	0.005847953216374269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005847953216374269	0.0	0.0	0.0	0.0	0.0	0.0	0.05263157894736842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005847953216374269
MA_Hampshire	0.003228410008071025	0.002421307506053269	0.0	0.0016142050040355124	0.0	0.0016142050040355124	0.0	0.0008071025020177562	0.0016142050040355124	0.0	0.004035512510088781	0.00887812752219532	0.0	0.004842615012106538	0.0	0.003228410008071025	0.0008071025020177562	0.01775625504439064	0.0008071025020177562	0.007263922518159807	0.002421307506053269	0.0	0.0008071025020177562	0.08393866020984665	0.0	0.0	0.11138014527845036	0.002421307506053269	0.0	0.0016142050040355124	0.0016142050040355124	0.02744148506860371	0.004035512510088781	0.01533494753833737	0.0	0.020177562550443905	0.03389830508474576	0.029055690072639227	0.002421307506053269	0.0016142050040355124	0.01533494753833737	0.003228410008071025	0.0016142050040355124	0.005649717514124294	0.01775625504439064	0.1735270379338176	0.005649717514124294	0.004035512510088781	0.004842615012106538	0.0008071025020177562	0.05488297013720742	0.02744148506860371	0.05488297013720742	0.08393866020984665	0.07667473769168684	0.004842615012106538	0.0	0.00645682001614205	0.0	0.0	0.0016142050040355124	0.004842615012106538	0.0008071025020177562	0.0	0.0	0.0	0.0	0.0	0.0	0.00645682001614205	0.0008071025020177562	0.0008071025020177562	0.0	0.0	0.0	0.0008071025020177562	0.008071025020177562	0.0008071025020177562	0.0	0.0	0.0	0.00887812752219532	0.00887812752219532	0.00887812752219532	0.0008071025020177562	0.0	0.0016142050040355124	0.0	0.0008071025020177562	0.0	0.0	0.0	0.0	0.0	0.0	0.004035512510088781	0.0	0.0	0.0	0.0	0.002421307506053269
ME_Sagadahoc	0.0	0.0	0.0	0.0	0.0	0.0029411764705882353	0.0	0.0029411764705882353	0.0	0.0029411764705882353	0.0	0.023529411764705882	0.0	0.0	0.0	0.0	0.0029411764705882353	0.0	0.0	0.0029411764705882353	0.0058823529411764705	0.0	0.0	0.047058823529411764	0.0	0.0	0.12352941176470589	0.0	0.0058823529411764705	0.0	0.0029411764705882353	0.023529411764705882	0.01764705882352941	0.008823529411764706	0.0	0.014705882352941176	0.03823529411764706	0.029411764705882353	0.0	0.0	0.03823529411764706	0.0029411764705882353	0.0029411764705882353	0.0058823529411764705	0.03235294117647059	0.19117647058823528	0.0029411764705882353	0.0	0.0029411764705882353	0.0	0.058823529411764705	0.011764705882352941	0.08823529411764706	0.029411764705882353	0.06764705882352941	0.0029411764705882353	0.0	0.0029411764705882353	0.0	0.0	0.0	0.008823529411764706	0.0029411764705882353	0.0	0.0	0.0	0.0	0.0	0.0	0.014705882352941176	0.0	0.0058823529411764705	0.0	0.0029411764705882353	0.0	0.0058823529411764705	0.020588235294117647	0.0029411764705882353	0.0	0.0	0.0	0.014705882352941176	0.0058823529411764705	0.008823529411764706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0058823529411764705	0.0	0.0029411764705882353
NH_Strafford	0.006304176516942475	0.006304176516942475	0.0015760441292356187	0.0015760441292356187	0.0	0.0031520882584712374	0.0	0.0015760441292356187	0.0007880220646178094	0.0	0.0	0.008668242710795903	0.0	0.003940110323089046	0.0	0.004728132387706856	0.0015760441292356187	0.03152088258471237	0.0007880220646178094	0.005516154452324665	0.0	0.0	0.0015760441292356187	0.06619385342789598	0.0	0.0	0.14026792750197006	0.008668242710795903	0.002364066193853428	0.0	0.004728132387706856	0.04412923561859732	0.006304176516942475	0.01103230890464933	0.0	0.0252167060677699	0.037037037037037035	0.018124507486209612	0.0015760441292356187	0.0007880220646178094	0.029156816390858944	0.0031520882584712374	0.0	0.007880220646178092	0.022852639873916468	0.19936958234830576	0.003940110323089046	0.003940110323089046	0.0015760441292356187	0.0015760441292356187	0.04334121355397951	0.01182033096926714	0.0504334121355398	0.03467297084318361	0.05752561071710008	0.003940110323089046	0.0	0.003940110323089046	0.0007880220646178094	0.0	0.0	0.01024428684003152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01103230890464933	0.0	0.0007880220646178094	0.0	0.0	0.0	0.0007880220646178094	0.008668242710795903	0.0031520882584712374	0.0	0.0	0.0007880220646178094	0.019700551615445233	0.002364066193853428	0.01103230890464933	0.0	0.0	0.0015760441292356187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007880220646178094	0.0	0.0015760441292356187	0.0	0.0015760441292356187
ME_Franklin	0.0051813471502590676	0.0	0.0	0.0051813471502590676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03626943005181347	0.0	0.015544041450777202	0.0	0.0	0.010362694300518135	0.0051813471502590676	0.0	0.0	0.0051813471502590676	0.0	0.0	0.04145077720207254	0.0	0.0	0.05699481865284974	0.0051813471502590676	0.025906735751295335	0.0	0.0	0.031088082901554404	0.0051813471502590676	0.0051813471502590676	0.0	0.015544041450777202	0.015544041450777202	0.046632124352331605	0.0	0.0	0.05181347150259067	0.0	0.0	0.010362694300518135	0.031088082901554404	0.20725388601036268	0.0	0.0	0.0	0.0051813471502590676	0.06735751295336788	0.02072538860103627	0.05699481865284974	0.046632124352331605	0.06735751295336788	0.010362694300518135	0.0	0.0	0.0	0.0	0.0	0.0051813471502590676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0051813471502590676	0.0	0.0	0.0	0.0	0.05181347150259067	0.0	0.0	0.0	0.0	0.0051813471502590676	0.0051813471502590676	0.0	0.0	0.0	0.0	0.015544041450777202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0051813471502590676	0.0	0.0	0.0	0.0
VT_Grand_Isle	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043478260869565216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17391304347826086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043478260869565216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2608695652173913	0.0	0.0	0.0	0.0	0.043478260869565216	0.17391304347826086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043478260869565216	0.0	0.0	0.0	0.0	0.0	0.0	0.17391304347826086	0.0	0.0	0.0	0.0	0.043478260869565216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MA_Plymouth	0.007869589657110737	0.010399100618324901	0.00505902192242833	0.0039347948285553686	0.0	0.002810567734682406	0.0	0.0002810567734682406	0.001405283867341203	0.0	0.007307476110174255	0.00477796514896009	0.0	0.00505902192242833	0.002810567734682406	0.005621135469364812	0.0005621135469364812	0.03288364249578415	0.0008431703204047217	0.02304665542439573	0.00477796514896009	0.0	0.0011242270938729624	0.11326587970770095	0.0	0.0	0.13631253513209668	0.0011242270938729624	0.003372681281618887	0.0011242270938729624	0.002529510961214165	0.028105677346824058	0.006745362563237774	0.008993816750983699	0.0	0.019955030916245082	0.02951096121416526	0.020517144463181564	0.0022484541877459247	0.0	0.015739179314221474	0.004496908375491849	0.0019673974142776843	0.010680157391793142	0.02304665542439573	0.18549747048903878	0.002529510961214165	0.0022484541877459247	0.0019673974142776843	0.0005621135469364812	0.05030916245081506	0.026419336706014616	0.05002810567734682	0.03794266441821248	0.045531197301854974	0.006464305789769534	0.0	0.0019673974142776843	0.0	0.0	0.0002810567734682406	0.0016863406408094434	0.0005621135469364812	0.0	0.0	0.0005621135469364812	0.0	0.0	0.0002810567734682406	0.003372681281618887	0.0002810567734682406	0.0022484541877459247	0.0	0.0005621135469364812	0.0005621135469364812	0.0008431703204047217	0.006183249016301293	0.0002810567734682406	0.0002810567734682406	0.0	0.0002810567734682406	0.00477796514896009	0.002810567734682406	0.006464305789769534	0.0005621135469364812	0.0002810567734682406	0.0	0.0	0.0005621135469364812	0.0	0.0002810567734682406	0.0	0.0005621135469364812	0.0	0.0	0.0022484541877459247	0.0005621135469364812	0.0	0.0	0.0005621135469364812	0.0002810567734682406
ME_Cumberland	0.009965969859017987	0.0021876519202722413	0.0004861448711716091	0.0004861448711716091	0.0009722897423432182	0.003889158969372873	0.00024307243558580456	0.0012153621779290229	0.0019445794846864365	0.0007292173067574137	0.0	0.013612056392805057	0.0	0.014098201263976665	0.00024307243558580456	0.012639766650461837	0.004375303840544483	0.014098201263976665	0.0007292173067574137	0.027467185221195917	0.0009722897423432182	0.0	0.0036460865337870686	0.08920758385999028	0.0	0.0	0.1582401555663588	0.0014584346135148275	0.0012153621779290229	0.0009722897423432182	0.004375303840544483	0.04448225571220223	0.011424404472532814	0.006806028196402528	0.00024307243558580456	0.01434127369956247	0.03087019931939718	0.022848808945065628	0.0019445794846864365	0.0012153621779290229	0.024550315994166263	0.005590666018473505	0.0007292173067574137	0.003889158969372873	0.014827418570734078	0.1920272241127856	0.0012153621779290229	0.00267379679144385	0.0014584346135148275	0.0007292173067574137	0.05809431210500729	0.00850753524550316	0.036217792902284884	0.04423918327661643	0.04837141468157511	0.0021876519202722413	0.00024307243558580456	0.0031599416626154593	0.00024307243558580456	0.00024307243558580456	0.00024307243558580456	0.004132231404958678	0.0012153621779290229	0.0	0.0014584346135148275	0.00024307243558580456	0.0	0.0	0.0004861448711716091	0.007049100631988332	0.0	0.0009722897423432182	0.00024307243558580456	0.00267379679144385	0.0004861448711716091	0.0012153621779290229	0.00583373845405931	0.0012153621779290229	0.0007292173067574137	0.0	0.0	0.007049100631988332	0.0031599416626154593	0.003403014098201264	0.00024307243558580456	0.0009722897423432182	0.0	0.00024307243558580456	0.0	0.0	0.0	0.0	0.0	0.00024307243558580456	0.0	0.00024307243558580456	0.0004861448711716091	0.0004861448711716091	0.0007292173067574137	0.0	0.001701507049100632
