Dependency=proto_bldg_type	Option=1	Option=2	Option=3	Option=4	Option=5	Option=6	Option=7	Option=8	Option=9	Option=10	Option=11	Option=12	Option=13	Option=14	Option=15_25	Option=over_25
full_service_restaurant	0.68627017	0.202754375	0.088173773	0.015570632	0.007231049	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
hospital	0.251888503	0.167977648	0.080282952	0.112369563	0.061751915	0.126589912	0.08246218	0.032825222	0.022118261	0.015193337	0.010428272	0.00812414	0.009973957	0.004678029	0.012782233	0.000553876
large_hotel	0.061677377	0.284668148	0.255169487	0.154108529	0.073427486	0.037522251	0.0126298	0.04101152	0.00744543	0.008997671	0.005215243	0.003335428	0.007722483	0.00901678	0.029858108	0.008194261
medium_office	0.527606028	0.271736616	0.128720128	0.037606567	0.014447188	0.005054945	0.003043765	0.00204962	0.002546768	0.001500692	0.000744111	0.00057355	0.000347341	0.00050867	0.001904485	0.001609526
midrise_apartment	0.339489736	0.260559764	0.15125567	0.180124799	0.032195317	0.011278445	0.002413569	0.003920615	0.00353812	0.000605521	0.004893501	0.005204624	0.001551363	0.001845661	0.001123293	0.00E+00
outpatient	0.606146932	0.315718112	0.06025076	0.005600402	0.003797589	0.005648004	6.79196E-05	0.000936347	0.000624251	0.00E+00	0.00E+00	0.000607583	0.00E+00	0.00E+00	0.0006021	0.00E+00
primary_school	0.741825127	0.153185531	0.075754018	0.022312912	0.005088388	0.001783997	5.00276E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
quick_service_restaurant	0.918412288	0.070236283	0.00E+00	0.011351429	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
retail	0.689113254	0.211938678	0.07157735	0.024329033	0.002244697	0.00E+00	0.00052266	5.85545E-05	7.05307E-05	0.00E+00	0.00E+00	0.00E+00	0.000145242	0.00E+00	0.00E+00	0.00E+00
secondary_school	0.427634825	0.251061237	0.175033453	0.086731435	0.04122881	0.003961647	0.001637344	0.005449995	0.002405085	0.000245862	0.001557163	0.00E+00	0.003053144	0.00E+00	0.00E+00	0.00E+00
small_hotel	0.383723636	0.406471971	0.097704959	0.079836341	0.019233048	0.008198038	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.000321546	0.00E+00	0.00E+00	0.00E+00	0.004510461	0.00E+00
small_office	0.58595189	0.278611388	0.092688679	0.020098977	0.006127593	0.006122548	0.00274644	0.000920223	0.000627112	0.000428825	0.000477179	0.000276573	0.000740358	0.000723345	0.002139492	0.001319379
strip_mall	0.810451286	0.153505541	0.020969928	0.014958927	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.000114319
warehouse	0.793250791	0.177982497	0.019850828	0.005868718	0.002408823	0.000108216	0.00E+00	0.000530126	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
no_match	0.689113254	0.211938678	0.07157735	0.024329033	0.002244697	0.00E+00	0.00052266	5.85545E-05	7.05307E-05	0.00E+00	0.00E+00	0.00E+00	0.000145242	0.00E+00	0.00E+00	0.00E+00
