# Note: The order of the parameters dictates the order in which the OpenStudio measures are run.																											
Parameter Name	Option Name	Measure Dir	Measure Arg 1	Measure Arg 2	...																						
division	1																										
division	2																										
division	3																										
division	4																										
division	5																										
division	6																										
division	7																										
division	8																										
division	9																										
location	VT_Essex	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	VT_Caledonia	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	VT_Franklin	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	MA_Hampshire	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	ME_Sagadahoc	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	NH_Strafford	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	ME_Franklin	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	VT_Grand_Isle	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	MA_Plymouth	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	ME_Cumberland	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	VT_Chittenden	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	NH_Rockingham	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	VT_Orange	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	MA_Middlesex	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	NH_Merrimack	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	ME_Penobscot	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	VT_Orleans	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	CT_Tolland	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	ME_Androscoggin	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	CT_Middlesex	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	CT_New_London	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	RI_Washington	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	ME_Aroostook	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	ME_Washington	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	ME_Knox	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	ME_Kennebec	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	MA_Essex	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	CT_Litchfield	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	VT_Windham	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	MA_Barnstable	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	ME_Somerset	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	NH_Hillsborough	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	NH_Belknap	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	CT_Fairfield	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	MA_Berkshire	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	ME_Piscataquis	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	CT_Windham	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	MA_Suffolk	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	NH_Coos	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	MA_Worcester	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	VT_Addison	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	NH_Cheshire	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	VT_Windsor	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
