Dependency=costar_bldg_type	Option=full_service_restaurant	Option=hospital	Option=large_hotel	Option=midrise_apartment	Option=outpatient	Option=primary_school	Option=quick_service_restaurant	Option=retail	Option=small_hotel	Option=strip_mall	Option=warehouse	Option=small_office	Option=medium_office	Option=no_match
Flex_LightDistribution	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Flex_LightManufacturing	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Flex_R_D	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Flex_Showroom	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Flex_TelecomHotel_DataHosting	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HealthCare_AssistedLiving	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HealthCare_CongregateSeniorHousing	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HealthCare_ContinuingCareRetirementCommunity	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HealthCare_Hospital	0	1	0	0	0	0	0	0	0	0	0	0	0	0
HealthCare_RehabilitationCenter	0	0	0	0	1	0	0	0	0	0	0	0	0	0
HealthCare_SkilledNursingFacility	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Hospitality_Hotel	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Hospitality_HotelCasino	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Hospitality_Motel	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Hospitality_SingleRoomOccupancyHotel	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Industrial_Distribution	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Industrial_FoodProcessing	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Industrial_Manufacturing	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Industrial_Refrigeration_ColdStorage	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Industrial_Service	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Industrial_Showroom	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Industrial_TelecomHotel_DataHosting	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Industrial_TruckTerminal	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Industrial_Warehouse	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Land_Commercial	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Land_Industrial	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Multi_Family_Apartments	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Multi_Family_Dormitory	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Multi_Family_ManufacturedHousing_MobileHomePark	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Office_IndustrialLive_WorkUnit	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Office_Loft_CreativeSpace	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Office_Medical	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Office_OfficeLive_WorkUnit	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Office_Office_Residential	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Office_TelecomHotel_DataHosting	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Retail_AutoDealership	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Retail_AutoRepair	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Retail_Bank	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Retail_Bar	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Retail_BowlingAlley	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Retail_ConvenienceStore	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Retail_DayCareCenter	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Retail_DepartmentStore	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Retail_DrugStore	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Retail_FastFood	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Retail_Freestanding	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Retail_FuneralHome	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Retail_GardenCenter	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Retail_HealthClub	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Retail_MovieTheatre	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Retail_Restaurant	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Retail_ServiceStation	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Retail_Storefront	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Retail_StorefrontRetail_Office	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Retail_StorefrontRetail_Residential	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Retail_Supermarket	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Retail_TruckStop	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Retail_Veterinarian_Kennel	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Specialty_AirplaneHangar	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Specialty_Airport	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Specialty_AutoSalvageFacility	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Specialty_CarWash	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Specialty_Cement_GravelPlant	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Specialty_Cemetery_Mausoleum	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Specialty_Chemical_OilRefinery	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Specialty_ContractorStorageYard	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Specialty_CorrectionalFacility	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Specialty_Drive_inMovie	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Specialty_Landfill	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Specialty_Lodge_MeetingHall	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Specialty_Lumberyard	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Specialty_Marina	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Specialty_Movie_Radio_TVStudio	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Specialty_ParkingGarage	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Specialty_ParkingLot	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Specialty_Police_FireStation	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Specialty_PostOffice	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Specialty_PublicLibrary	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Specialty_Radio_TVTransmissionFacilities	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Specialty_RailroadYard	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Specialty_RecyclingCenter	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Specialty_ReligiousFacility	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Specialty_Schools	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Specialty_Self_Storage	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Specialty_Shelter	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Specialty_Shipyard	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Specialty_Sorority_FraternityHouse	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Specialty_Trailer_CamperPark	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Specialty_UtilitySub_Station	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Specialty_WaterRetentionFacility	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Specialty_WaterTreatmentFacility	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Specialty_Winery_Vineyard	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Sports_Entertainment_AmusementPark	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Sports_Entertainment_BaseballField	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Sports_Entertainment_Casino	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Sports_Entertainment_GolfCourse_DrivingRange	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Sports_Entertainment_HorseStables	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Sports_Entertainment_RaceTrack	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Sports_Entertainment_SkatingRink	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Sports_Entertainment_SwimmingPool	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Sports_Entertainment_Theater_ConcertHall	0	0	0	0	0	0	0	0	0	0	0	0	0	1
