Dependency=proto_bldg_type	Option=_1000	Option=1001_5000	Option=5001_10000	Option=10001_25000	Option=25001_50000	Option=50001_100000	Option=100001_200000	Option=200001_500000	Option=500001_1mil	Option=over_1mil
full_service_restaurant	0.00E+00	0.618364429	0.290604782	0.089124184	0.000208619	0.001697985	0.00E+00	0.00E+00	0.00E+00	0.00E+00
hospital	0.00E+00	0.00E+00	0.00E+00	0.043266111	0.146965479	0.30801729	0.140584636	0.225814714	0.099927675	0.035424096
large_hotel	0.00E+00	0.00E+00	0.037492175	0.270068935	0.226809522	0.254884244	0.124712832	0.061887593	0.017855751	0.006288948
medium_office	0.00E+00	0.517369769	0.2115859	0.134870044	0.069159456	0.03846258	0.018241388	0.0076951	0.001881374	0.000734387
midrise_apartment	0.00E+00	0.107993428	0.127014758	0.334229976	0.141159473	0.210241976	0.06486608	0.014151051	0.000343258	0.00E+00
outpatient	0.00E+00	0.547584115	0.22134469	0.142931577	0.044751593	0.032197801	0.007010625	0.004117808	6.17913E-05	0.00E+00
primary_school	0.00E+00	0.415763947	0.145959617	0.187811226	0.094787089	0.110901055	0.040375324	0.004401742	0.00E+00	0.00E+00
quick_service_restaurant	0.00E+00	0.885937795	0.101091248	0.012970956	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
retail	0.00E+00	0.506753573	0.229207018	0.167724949	0.048972849	0.015232249	0.025762586	0.006276245	7.05307E-05	0.00E+00
secondary_school	0.00E+00	0.155819792	0.061067413	0.210927909	0.153564694	0.183145435	0.130192354	0.103986365	0.001296039	0.00E+00
small_hotel	0.00E+00	0.37689479	0.270354823	0.23466173	0.082806149	0.014868731	0.014308195	0.005872725	0.000232859	0.00E+00
small_office	0.00E+00	0.541034687	0.25819869	0.112815393	0.056672652	0.016976089	0.00811186	0.003764875	0.001886408	0.000539345
strip_mall	0.00E+00	0.279839696	0.266726226	0.207300727	0.104613526	0.095781389	0.03339723	0.012119813	0.000221392	0.00E+00
warehouse	0.00E+00	0.429987381	0.210287535	0.217822287	0.076796986	0.032890041	0.019468149	0.010371825	0.002044378	0.000331417
no_match	0.00E+00	0.517369769	0.2115859	0.134870044	0.069159456	0.03846258	0.018241388	0.0076951	0.001881374	0.000734387
