Dependency=hz_bldg_type	proto_bldg_type=full_service_restaurant	proto_bldg_type=hospital	proto_bldg_type=large_hotel	proto_bldg_type=midrise_apartment	proto_bldg_type=highrise_apartment	proto_bldg_type=outpatient	proto_bldg_type=primary_school	proto_bldg_type=quick_service_restaurant	proto_bldg_type=retail	proto_bldg_type=secondary_school	proto_bldg_type=small_hotel	proto_bldg_type=strip_mall	proto_bldg_type=super_market	proto_bldg_type=warehouse	proto_bldg_type=small_office	proto_bldg_type=medium_office	proto_bldg_type=large_office	proto_bldg_type=no_match
res1i	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
res2i	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
res3ai	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
res3bi	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
res3ci	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
res3di	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
res3ei	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
res3fi	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
res4i	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
res5i	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
res6i	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
com1i	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
com2i	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
com3i	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
com4i	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
com5i	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
com6i	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
com7i	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
com8i	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
com9i	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
com10i	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ind1i	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ind2i	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ind3i	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ind4i	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ind5i	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ind6i	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
agr1i	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
rel1i	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
gov1i	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
gov2i	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
edu1i	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
edu2i	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
