Dependency=proto_bldg_type	Option=_1000	Option=1001_5000	Option=5001_10000	Option=10001_25000	Option=25001_50000	Option=50001_100000	Option=100001_200000	Option=200001_500000	Option=500001_1mil	Option=over_1mil
full_service_restaurant		" 2	954.0 "	" 7	230.4 "	" 14	989.0 "	" 33	000.0 "	" 78	925.5 "				
hospital				" 22	105.2 "	" 37	461.5 "	" 74	702.8 "	" 145	646.5 "	" 313	009.5 "	" 740	481.6 "	" 1	438	445.2 "
large_hotel		" 2	540.4 "	" 7	416.9 "	" 15	742.0 "	" 36	789.1 "	" 64	401.2 "	" 131	624.8 "	" 300	781.6 "	" 626	627.9 "	" 1	479	067.5 "
midrise_apartment										
highrise_apartment										
outpatient		" 3	331.5 "	" 7	573.7 "	" 17	177.6 "	" 39	061.2 "	" 62	348.2 "	" 147	364.6 "	" 300	892.2 "	" 900	000.0 "	
primary_school										
quick_service_restaurant										
retail		" 2	912.6 "	" 7	090.8 "	" 15	136.7 "	" 36	642.7 "	" 76	780.8 "	" 130	603.0 "	" 233	616.5 "	" 759	935.5 "	" 1	447	024.0 "
secondary_school		" 2	726.9 "	" 6	963.6 "	" 16	253.8 "	" 36	424.7 "	" 69	811.1 "	" 137	687.8 "	" 271	803.8 "	" 500	001.0 "	
small_hotel										
strip_mall		" 3	029.3 "	" 7	947.2 "	" 16	555.9 "	" 37	166.6 "	" 71	164.1 "	" 134	971.3 "	" 262	462.4 "	" 600	000.0 "	
super_market		" 2	859.2 "	" 7	018.0 "	" 14	113.3 "	" 34	363.2 "	" 76	664.2 "	" 145	244.5 "			
warehouse		" 2	966.0 "	" 7	398.3 "	" 16	463.1 "	" 36	979.8 "	" 68	670.6 "	" 146	152.4 "	" 275	496.1 "	" 700	896.2 "	" 1	417	356.1 "
small_office										
medium_office		" 2	884.8 "	" 7	286.9 "	" 15	701.0 "	" 35	273.3 "	" 70	022.9 "	" 136	823.3 "	" 299	649.5 "	" 680	940.0 "	" 1	451	540.6 "
large_office										
no_match		" 2	854.9 "	" 7	115.7 "	" 15	966.9 "	" 34	547.5 "	" 72	143.4 "	" 137	871.9 "	" 309	269.6 "	" 699	206.6 "	" 1	430	911.5 "
