Dependency=proto_bldg_type	Option=_1000	Option=1001_5000	Option=5001_10000	Option=10001_25000	Option=25001_50000	Option=50001_100000	Option=100001_200000	Option=200001_500000	Option=500001_1mil	Option=over_1mil										
full_service_restaurant	0	0.349056991	0.381212941	0.244383744	0.001238445	0.024107879	0	0	0	0										
hospital	0	0	0	0.003894479	0.022418554	0.0936957	0.083376839	0.287817496	0.301305797	0.207491136										
large_hotel	0	0	0.003182232	0.053202606	0.093903809	0.186091928	0.19291969	0.235288547	0.128699132	0.106712057										
midrise_apartment	0	0.006770673	0.028647411	0.145290144	0.134509629	0.347929063	0.23252859	0.098575206	0.005749284	0										
highrise_apartment	0	0	0	0	0	0	0	0	0	0										
outpatient	0	0.1507927	0.135382984	0.199474478	0.147538012	0.173397094	0.086590591	0.102227361	0.004596779	0										
primary_school	0	0.050214927	0.044113614	0.129269752	0.153874578	0.34360376	0.232607712	0.046315655	0	0										
quick_service_restaurant	0	0.751146706	0.20922891	0.039624384	0	0	0	0	0	0										
retail	0	0.111593256	0.122651427	0.184648972	0.129815789	0.092665725	0.252869833	0.102068262	0.003686736	0										
secondary_school	0	0.004929379	0.006383357	0.054415489	0.074508312	0.172656039	0.268764592	0.40916182	0.009181011	0										
small_hotel	0	0.069386941	0.141655942	0.256779439	0.232069114	0.057834975	0.135578377	0.09668141	0.010013802	0										
strip_mall	0	0.033238566	0.082508379	0.136905771	0.1573514	0.273318214	0.182702328	0.129050118	0.004925224	0										
super_market	0	0	0	0	0	0	0	0	0	0										
warehouse	0	0.067360194	0.081400459	0.187591544	0.148808357	0.119158721	0.1486242	0.148592826	0.074026811	0.024436889										
small_office	0	0.125898093	0.151297504	0.133969081	0.154368303	0.095212096	0.092579547	0.088061075	0.096940081	0.06167422										
medium_office	0	0.083377798	0.086176707	0.12265365	0.142411358	0.153423412	0.141634688	0.134094879	0.074948358	0.06127915										
large_office	0	0	0	0	0	0	0	0	0	0										
no_match	0	0.138600453	0.149961718	0.221234214	0.149318062	0.125333742	0.079365186	0.069461995	0.033772378	0.032952251										
