Dependency=division	Dependency=proto_bldg_type	Option=pre_1920	Option=1920_1945	Option=1946_1959	Option=1960_1969	Option=1970_1979	Option=1980_1989	Option=1990_1999	Option=2000_2003	Option=2004_2007	Option=2008_2012
1	full_service_restaurant	0.266780108	0	0.221533863	0	0.276594839	0.095813024	0	0.118438785	0.02083938	0
1	hospital	0	0	0.325202604	0.032795151	0.344263203	0	0.285507392	0	0.01223165	0
1	large_hotel	0	0	0	0.054149522	0	0.945850478	0	0	0	0
1	midrise_apartment	0	0.084611675	0.052247524	0.053108777	0.009120609	0	0.136859198	0	0.310525958	0.353526258
1	highrise_apartment	0	0.084611675	0.052247524	0.053108777	0.009120609	0	0.136859198	0	0.310525958	0.353526258
1	outpatient	0	0	0.281810214	0.263707591	0.026387596	0.065705391	0.002914713	0.359474495	0	0
1	primary_school	0	0.281321253	0.199791764	0.342042346	0.036745772	0	0.094692388	0	0.031440003	0.013966474
1	quick_service_restaurant	0.594550786	0	0	0.249768676	0	0	0.155680538	0	0	0
1	retail	0.177795207	0.171290562	0.194893607	0	0.190645756	0.082061425	0.068170136	0	0	0.115143308
1	secondary_school	0.002488839	0.379787282	0.054051766	0.03484172	0.013119668	0.032329714	0.013119668	0.108976545	0.013119668	0.348165129
1	small_hotel	0	0	0	1	0	0	0	0	0	0
1	strip_mall	0.209002921	0	0.176018135	0.015462348	0.216546574	0.149155739	0.232668107	0.001146176	0	0
1	super_market	0.209002921	0	0.176018135	0.015462348	0.216546574	0.149155739	0.232668107	0.001146176	0	0
1	warehouse	0.198938659	0.34481256	0.107117201	0.074577051	0.027649834	0.178390822	0.013671226	0.04108036	0.003594963	0.010167323
1	small_office	0.092386593	0	0.071531513	0.291869586	0.107698092	0.091140202	0.182280404	0.071953408	0.091140202	0
1	medium_office	0.140124195	0.091569645	0.248546333	0.076511802	0.059742693	0.233299995	0.033881457	0.061535326	0.054788555	0
1	large_office	0.140124195	0.091569645	0.248546333	0.076511802	0.059742693	0.233299995	0.033881457	0.061535326	0.054788555	0
1	no_match	0.156863612	0.043897612	0.041538949	0.090931971	0.084254007	0.171858295	0.14392537	0.086684541	0.100518033	0.079527609
2	full_service_restaurant	0.036753687	0.438714337	0.056491606	0.003065699	0.129953933	0.137631438	0.062307415	0	0	0.135081885
2	hospital	0.135839217	0.019665458	0.120022115	0.050897958	0.547165748	0.075738231	0.012439077	0	0.023676481	0.014555716
2	large_hotel	0	0.071946969	0	0.137443215	0.078156203	0.174053923	0.055452487	0.025324205	0.076925776	0.380697221
2	midrise_apartment	0.002113947	0.221038539	0.035006113	0.197328796	0.363596459	0.042777264	0.0480436	0.03704812	0.01450053	0.038546632
2	highrise_apartment	0.002113947	0.221038539	0.035006113	0.197328796	0.363596459	0.042777264	0.0480436	0.03704812	0.01450053	0.038546632
